LOC_NAME,LOC_PID,Centroid_X,Centroid_Y,Google_Maps_Link,Suburb Name in Brisbane,Location in Brisbane
Albion,loc3eac23d5fb35,142.5650211,-21.35125168,"https://www.google.com/maps?q=-21.35125168264067,142.56502111625917",1,No
Albion,locb5bf7fc0e0e7,153.0430464,-27.43237776,"https://www.google.com/maps?q=-27.43237775687894,153.04304635456464",1,Yes
Alligator Creek,locc5ba8d9f7738,146.9491202,-19.40765307,"https://www.google.com/maps?q=-19.407653070708946,146.94912021220821",0,
Alligator Creek,locdcebf6b2a10b,149.2129421,-21.30428948,"https://www.google.com/maps?q=-21.304289479657783,149.21294211734732",0,
Arafura Sea,loc4ee53c9e73be,141.4244722,-9.825276832,"https://www.google.com/maps?q=-9.825276832290283,141.42447221746013",0,
Arafura Sea,loc4ee53c9e73be,141.7360524,-10.76390509,"https://www.google.com/maps?q=-10.763905093112493,141.73605240202525",0,
Ascot,loc29d311d7f5a5,152.0006648,-27.83828493,"https://www.google.com/maps?q=-27.838284932896087,152.00066481366667",1,No
Ascot,loc531acb267efe,153.0635712,-27.42947448,"https://www.google.com/maps?q=-27.429474484205098,153.0635712331216",1,Yes
Aurukun,loc4303438218e4,141.8048121,-12.71757525,"https://www.google.com/maps?q=-12.717575249369313,141.80481211160134",0,
Aurukun,loc4303438218e4,142.1541297,-12.56491683,"https://www.google.com/maps?q=-12.564916827124001,142.15412968004009",0,
Aurukun,loc4303438218e4,141.6945575,-14.01652839,"https://www.google.com/maps?q=-14.016528385865998,141.69455754344412",0,
Birnam,loc40dcf7b019a1,151.9204663,-27.49326689,"https://www.google.com/maps?q=-27.49326688999739,151.9204663248608",0,
Birnam,locf5c5b3539174,153.0691653,-27.94543912,"https://www.google.com/maps?q=-27.94543911986691,153.06916534369574",0,
Bountiful Islands,locb533cd39339e,139.8415433,-16.70947823,"https://www.google.com/maps?q=-16.709478229019794,139.84154329582796",0,
Bountiful Islands,locb533cd39339e,139.8428626,-16.70740571,"https://www.google.com/maps?q=-16.707405709263156,139.8428626416362",0,
Bountiful Islands,locb533cd39339e,139.8657942,-16.66117778,"https://www.google.com/maps?q=-16.66117777982119,139.8657941774118",0,
Bountiful Islands,locb533cd39339e,139.8318119,-16.70104795,"https://www.google.com/maps?q=-16.70104795108989,139.8318119410684",0,
